timestamp,rr
1622960565231,481,697961
1622960565712,484,698442
1622960566231,479,698926
1622960566710,479,699405
1622960567228,477,699884
1622960567705,478,700361
1622960568183,475,700839
1622960568210,476,701314
1622960568686,476,701790
1622960569192,482,702266
1622960569674,481,702748
1622960571171,479,703229
1622960571650,480,703708
1622960571191,484,704188
1622960571675,488,704672
1622960572172,486,705160
1622960572658,492,705646
1622960573150,491,706138
1622960573641,495,706629
1622960574138,493,707124
1622960574631,496,707617
1622960575126,491,708113
1622960575617,493,708604
1622960576128,489,709097
1622960576617,487,709586
1622960577110,483,710073
1622960577593,493,710556
1622960578094,484,711049
1622960578578,491,711533
1622960579088,491,712024
1622960579579,485,712515
1622960580074,490,713000
1622960580564,484,713490
1622960581065,493,713974
1622960581558,487,714467
1622960582571,483,714954
1622960583054,489,715437
1622960583051,481,715926
1622960583532,488,716407
1622960584053,487,716895
1622960584540,476,717382
1622960585016,481,717858
1622960585028,481,718339
1622960585509,478,718820
1622960586030,482,719298
1622960586512,474,719780
1622960587995,475,720254
1622960588470,476,720729
1622960588109,471,721205
1622960588580,479,721676
1622960589493,473,722155
1622960589966,466,722628
1622960590491,474,723094
1622960590965,471,723568
1622960591469,467,724039
1622960591936,474,724506
1622960592471,469,724980
1622960592940,462,725449
1622960593450,472,725911
1622960593922,468,726383
1622960594390,464,726851
1622960594449,469,727315
1622960594918,465,727784
1622960595429,465,728249
1622960595894,472,728714
1622960596410,467,729186
1622960596877,462,729653
1622960597413,467,730115
1622960597880,470,730582
1622960598412,465,731052
1622960598877,466,731517
1622960599387,464,731983
1622960599851,466,732447
1622960600317,464,732913
1622960600369,464,733377
1622960600833,467,733841
1622960601361,465,734308
1622960601826,466,734773
1622960602367,466,735239
1622960602833,468,735705
1622960603347,472,736173
1622960603819,468,736645
1622960604346,472,737113
1622960604818,468,737585
1622960605346,473,738053
1622960605819,476,738526
1622960606331,477,739002
1622960606808,475,739479
1622960607329,476,739954
1622960607805,478,740430
1622960608289,477,740908
1622960608766,479,741385
1622960609245,478,741864
1622960609288,478,742342
1622960609766,479,742820
1622960610293,479,743299
1622960610772,481,743778
1622960612271,480,744259
1622960612751,481,744739
1622960612317,479,745220
1622960612796,483,745699
1622960613250,486,746182
1622960613736,488,746668
1622960614249,487,747156
1622960614736,493,747643
1622960615228,499,748136
1622960615727,491,748635
1622960616231,494,749126
1622960616725,490,749620
1622960617208,490,750110
1622960617698,495,750600
1622960618211,484,751095
1622960618695,489,751579
1622960620195,489,752068
1622960620684,482,752557
1622960620254,488,753039
1622960620742,484,753527
1622960622168,480,754011
