timestamp,heartrate,rmssd,sdnn,alpha1,filtered,samples,droppedPercent
1622965373558,,20,,1.4,6,135,4
1622965374540,,20,,1.4,6,135,4
1622965375559,,20,,1.4,6,134,4
1622965376530,,20,,1.4,6,134,4
1622965377528,,20,,1.4,6,134,4
1622965378526,,20,,1.4,6,134,4
1622965379525,,20,,1.4,6,133,4
1622965381497,,20,,1.4,6,132,5
1622965381500,,20,,1.4,6,133,5
1622965383362,,20,,1.4,6,134,5
1622965383443,,20,,1.4,6,134,4
1622965384451,,19,,1.4,6,133,4
1622965385420,,19,,1.4,5,134,5
1622965386422,,19,,1.4,5,134,4
1622965387395,,19,,1.4,5,134,4
1622965389252,,19,,1.46,5,134,4
1622965389282,,19,,1.46,6,133,4
1622965390263,,20,,1.46,6,133,5
1622965391292,,19,,1.46,6,133,5
1622965392807,,19,,1.46,5,133,5
1622965393822,,18,,1.46,5,132,4
1622965395686,,18,,1.46,4,134,4
1622965395821,,18,,1.46,4,134,3
1622965396798,,18,,1.46,4,133,3
1622965397781,,18,,1.46,4,133,3
1622965398757,,18,,1.46,4,133,3
1622965399745,,18,,1.46,4,132,3
1622965401637,,18,,1.46,4,133,3
1622965401737,,18,,1.46,4,133,3
1622965402734,,18,,1.46,4,132,3
1622965403732,,18,,1.46,4,132,3
1622965404707,,18,,1.46,4,132,3
1622965405703,,18,,1.46,4,132,3
1622965406714,,18,,1.46,4,132,3
1622965408599,,18,,1.46,4,133,3
1622965408667,,17,,1.14,3,133,3
1622965409693,,17,,1.14,3,133,2
1622965410664,,17,,1.14,3,133,2
1622965411665,,17,,1.14,3,133,2
1622965412649,,17,,1.14,3,133,2
1622965413657,,17,,1.14,3,134,2
1622965415504,,17,,1.14,3,135,2
1622965415612,,17,,1.14,3,135,2
1622965416607,,17,,1.14,3,135,2
1622965417590,,17,,1.14,3,135,2
1622965418588,,17,,1.14,3,134,2
1622965419580,,17,,1.14,3,134,2
1622965420557,,17,,1.14,3,134,2
1622965421554,,17,,1.14,3,134,2
1622965423432,,16,,1.14,3,135,2
1622965423541,,16,,1.14,3,135,2
1622965424506,,16,,1.14,3,134,2
1622965425505,,16,,1.14,3,134,2
1622965426476,,16,,1.14,3,134,2
